did,group,followers_count,total_likes,avg_jump_size,valid_post_count
did:plc:eclio37ymobqex2ncko63h4r,INFLUENCER,1283556,347669,219.30419426048564,2265
did:plc:mtr3pwmbnirvyp3robuicd57,INFLUENCER,320844,685820,900.6499498495486,997
did:plc:lzlqyldh7nfc34pfffvd24ko,INFLUENCER,306621,1017534,926.4567993989482,1331
did:plc:flfa7b6kgjqp3bbh223tmpjk,INFLUENCER,299958,974454,681.6827548806941,1844
did:plc:wuhkj7cjrak4zghdgunoprur,INFLUENCER,273023,100868,1361.6153846153843,104
did:plc:zipphihu644mxj7qjafvwwun,INFLUENCER,264682,234670,2259.2953020134228,149
did:plc:cguwfiesizkt4ssgx6q7d6yy,INFLUENCER,259398,272357,355.1986143187067,866
did:plc:ux632osoaqigjkgvuei3m6no,INFLUENCER,231113,366558,1300.8078947368422,380
did:plc:psl3vtmvduvmmy336lqcuhfy,INFLUENCER,199031,394886,361.3948220064725,1545
did:plc:i3fhjvvkbmirhyu4aeihhrnv,INFLUENCER,195643,55888,29.6402081977879,3074
did:plc:j76trmiofvaxxpvx2vnb2vwf,INFLUENCER,191245,1074193,891.6744525547446,1370
did:plc:ddvus7otnqtlh7fdooxm6qat,INFLUENCER,168122,563434,601.9863713798978,1174
did:plc:qqxqxgdu5z3he2piqfbfaku4,INFLUENCER,167454,30940,20.603610997127618,2437
did:plc:hlvr2omhnmvdmfnvmcuhyevz,INFLUENCER,161139,138221,142.71302037201062,1129
did:plc:h5zkfkc35wkb53udnemrica5,INFLUENCER,138686,280273,249.95252449133383,1327
did:plc:vh5kse66fwzwewvqfhdaqqfl,INFLUENCER,136612,24875,57.76450511945392,586
did:plc:moykfnyshji4ab5k4iwzajij,INFLUENCER,130336,158978,95.92864125122188,2046
did:plc:2i2iy5ve4exw3nvyreimq2pk,INFLUENCER,128845,62921,96.65505226480836,861
did:plc:3vyl2i7k2fuk7lbnmlxh3vof,INFLUENCER,126603,569244,358.3936170212766,1786
did:plc:salokypqtf26a547u2rxpx7a,INFLUENCER,124229,29679,55.78846153846154,780
did:plc:vh2o6ozjlxmdcbia6molxph3,INFLUENCER,123479,59963,291.7906137184116,277
did:plc:3l74xs7iozt2myjyupseqhmt,INFLUENCER,112922,437719,214.7846268102488,2693
did:plc:3qbzbnzpr4eel5hl7p5apf6y,INFLUENCER,112794,79626,51.12656400384986,2078
did:plc:qlq3ea6jp3ivneirykwfodia,INFLUENCER,112270,15702,25.576726342711,782
did:plc:i22s7zjgcx5zjkyx4mr6f4ga,INFLUENCER,109701,13482,151.32038834951456,103
did:plc:occa6kzqgepazfwcyzzfljbr,INFLUENCER,108703,426119,283.8477127967574,1727
did:plc:dm6ncll5z4iwsgdhjh3jparx,INFLUENCER,106090,835,15.308641975308642,81
did:plc:zetunk75tdvsmkjqkel65dcl,INFLUENCER,104089,471921,281.12176165803106,2316
did:plc:pjx5q7ozubiuiefbscaivmvj,INFLUENCER,103082,88543,312.7445054945055,364
did:plc:jwxsicuuri3glqe72ja4cvry,INFLUENCER,102684,46351,151.11936339522546,377
did:plc:pum3nk6m6xqwqw5e7v5wcbgu,INFLUENCER,94602,178340,128.59357964869776,1651
did:plc:m73v5tainb3xmheve3junu6c,INFLUENCER,93058,94734,186.53963414634143,656
did:plc:y5icer7gjxmnzg233pq6qgcj,INFLUENCER,89359,96386,553.4009216589861,217
did:plc:k3i3d2xfibssxz2lbm45x54o,INFLUENCER,88389,158333,76.86183656276327,2374
did:plc:3kapv2cmc5r6ehswf6nwo5wt,INFLUENCER,87892,66369,441.5728155339806,206
did:plc:mm5ebihpjvtrdunomulbls5m,INFLUENCER,87488,847810,356.96131171702285,2714
did:plc:uo4didwt5qe4onrscbmqwvwm,INFLUENCER,86883,35228,24.718973496003365,2377
did:plc:vrsppvjc5fysqnm2zshiirey,INFLUENCER,86779,46480,44.559032716927454,1406
did:plc:jszy2fvtipwprnjhe7pxytfv,INFLUENCER,84594,26365,18.86730685290266,2291
did:plc:gq3tfcqaupajrlpi3dgg4tc7,INFLUENCER,83625,2191,16.005847953216374,171
did:plc:2flxuayvffkbjjnptjtm5txp,INFLUENCER,81676,6994,5.183818046234154,2682
did:plc:a23utge5gk6ckgm3ypx3weyr,INFLUENCER,80247,342191,721.010719754977,653
did:plc:hftn3yxsolgzr73n3karngfv,INFLUENCER,79807,34520,61.40401505646173,797
did:plc:y3xrmnwvkvsq4tqcsgwch4na,INFLUENCER,79476,20801,11.110411140583556,3016
did:plc:yndpz2gilvi3cmylsmzrfhng,INFLUENCER,78654,109716,88.02837326607819,1586
did:plc:evum3ztvjvpmuc72fd5lhvjd,INFLUENCER,77874,92259,115.12180143295804,977
did:plc:ra3yhytikcijl5dezjamvzrg,INFLUENCER,77821,14041,26.20959595959596,792
did:plc:ep6obzporuzjjctglk4zewik,INFLUENCER,76739,90824,84.90596137699413,1191
did:plc:crcwt5glpoglltch6ohk7x6y,INFLUENCER,74061,5206,25.845559845559844,259
did:plc:kqcmjyv4zxfcxzbitkw7z2d6,INFLUENCER,72631,62994,225.52892561983472,363
did:plc:obksvg6m2wchvxqwrqclknbs,INFLUENCER,72539,109484,109.03526645768024,1276
