did,followers_count,valid_post_count,total_likes,total_reposts,total_replies,mean_X,avg_jump_size,lambda,duration_days,post_count
did:plc:qbw7tjngbicr4s7vsdntlsri,40,2438,2041,7,1,42.93626819780784,1.8404429860541427,16.198654057870623,180.45691035879707,2977
did:plc:hbnxqflfvo64huf2u57vcybq,59,480,79,4,27,5.9418881576913245,1.2291666666666667,3.193393759554134,179.94526209490718,624
did:plc:j76trmiofvaxxpvx2vnb2vwf,191245,1370,1074193,116023,30008,11852.525322549665,891.6744525547446,9.12845119955941,179.98536048611282,3785
did:plc:5tq47alaxjjyjohifa2mlf4p,142,619,3407,9,380,41.827301365623505,7.132471728594507,4.097963287236229,179.98837818287038,729
did:plc:enebdn6loc3k3szcxdbo7sgv,2956,39,94,10,13,2.984808557449914,4.0,0.25180701478910733,179.90172848379723,252
did:plc:wofcz2as7dykczrqlub3zmdp,96,1854,470,62,4,23.07526437301138,1.2891046386192018,12.321170297653616,179.9772702314815,2218
did:plc:3nlrni5lxnnvizsl7wc73nbi,477,455,2235,71,373,32.09143773769028,6.887912087912088,3.029729089060444,179.98987444444663,759
did:plc:2xyfcpn4ypwk7lkuw5teoria,313,273,976,40,74,34.793264322940736,4.992673992673993,1.819465931856159,179.98811631944446,2759
did:plc:ar3xbpwuf6hxk35iq664serb,210,25,21,5,1,3.0439042220527943,2.08,0.15750734532715988,179.81753983796196,326
did:plc:n4xgueo5em7iikehqh6j2ua4,649,685,4011,355,654,58.62383763020944,8.328467153284672,4.569653146203169,179.90086512731457,1445
did:plc:jdr65fnpaxcyh2wekeaqtttw,708,2644,828,295,64,37.05785172886373,1.4489409984871406,17.630587235853802,179.91946236111224,3318
did:plc:nyo64swhley7khl4uo3o2ijd,619,271,881,122,178,14.17016003101865,5.357933579335794,1.7807071249595352,179.8315364351841,381
did:plc:ucwjleevh3u7yq4safl6dnsa,9658,1341,27766,3894,1970,339.4254727278223,26.078299776286354,8.9379208540924,179.98677253472033,2064
did:plc:v35dxkehisvrwiasqhswyytv,657,198,384,26,80,8.214301903847307,3.474747474747475,1.31611176804723,179.29065332175958,490
did:plc:kw4kcuzwirhgox25tq3uvkfk,2541,349,674,109,134,13.023823805076205,3.627507163323782,2.333254734734203,179.17403767361134,529
did:plc:6cvyt5mou6bwqxefsld2dw6w,357,84,398,2,76,6.003278033252525,6.666666666666667,0.563424116905532,178.83356650463134,135
did:plc:xlvvfzptzhoqx47w6r5umyvh,29,1357,16,2,1,13.324359476058417,1.0140014738393515,9.153457324181437,178.208337314816,1609
did:plc:4rsq45fqyonagsgwt2yzl25l,21,3598,122,52,7,36.34851397048775,1.0503057254030017,23.98666694243917,179.95837438657327,4318
did:plc:juhjd33z6trqttw5hkvpjay5,266,275,511,34,66,13.66847661077434,3.2218181818181817,1.8419597240421837,179.29314067129735,1055
did:plc:hhqzjk3wuvan75wdnacitt2m,27666,2639,102572,31174,5112,1358.491647517824,53.6176582038651,17.591547238838153,179.9790456365739,3166
did:plc:apz4h3ob3ras26i5tkdez42j,190,538,957,39,152,18.72442671265404,3.133828996282528,3.571137797151864,179.87598091435376,999
did:plc:statfnnh5ycq4yjz7lww4q6k,8279,1377,547,146,42,26.503516029245077,1.5337690631808278,9.176677526547227,179.91481190972306,2335
did:plc:w475svwwaby3v65o6tubzel4,785,1471,6311,171,706,87.69811711990904,5.886471787899388,9.830553896203744,179.56988932870328,2299
did:plc:bzot55bgb32it6hc2gzggcfa,438,824,1837,71,260,29.23289786405335,3.6310679611650487,5.501420572269374,179.72293796296196,1213
did:plc:peuimjhxhaw2zwddhlq2y7oo,3949,1648,11003,432,1162,139.42527415571462,8.64381067961165,10.94390200160749,179.94065535879798,2346
did:plc:cvkwgel7t7oo34kqddw3xq2p,317,580,1319,60,119,21.589034518085857,3.5827586206896553,3.910906306793065,178.23383042824213,915
did:plc:mfubvm6wpyoc2cau23qd7wnu,318,879,1565,202,163,45.789255253316064,3.1956769055745164,5.8578304986876235,179.82704918981426,3215
did:plc:rgi73bicxchxv54zkpocfpom,160,367,913,10,118,14.179150980387767,3.8365122615803813,2.4449229904138257,179.19431309027527,500
did:plc:pvt3k7dtmm2jbynmsn26in2j,1469,19,25,0,1,6.287553227055723,2.3684210526315788,0.126831040683813,179.18457456018362,883
did:plc:jrbq4hc4a6qm3zcm7vh2dker,353,1727,1100,76,456,36.20777726998972,1.944991314418066,11.513321739169491,179.9701093865738,2408
did:plc:nmjcylqdvbglapah6jxbf6ee,494,2051,394,264,23,26.143966741700794,1.3320331545587518,13.671514417457628,179.97854224536982,2417
did:plc:ocnyspos4oke2bnp3m63z2up,423,478,2858,159,182,35.38554590516185,7.692468619246862,3.189558547357241,179.85154452546328,574
did:plc:xhk25ixkkotxzfotkppiberd,215,844,790,22,222,18.559424183941417,2.2251184834123223,5.662459505751449,178.09650525463124,1036
did:plc:a42knvapnlywmum2of6czwwg,142,1123,1804,42,99,29.686977040551106,2.731967943009795,7.485349483117903,179.96160123842458,1358
did:plc:abqvrdxrmt6epg7opa225gil,932,266,504,32,38,10.260698297491215,3.1578947368421053,1.7822894964788658,178.88869266203707,556
did:plc:e6bmtzxdn2iidhlfemt62k5d,739,2264,6982,477,1917,117.87114609513243,5.141342756183746,15.09904190243563,179.88187208333224,3328
