did,beta_merit,n_posts_analyzed,lambda_total,lambda_creative
did:plc:2222vtxw7k4npcwnn5kwemxy,1.3692114437725713,204,32.51595715875741,33.28195047535115
did:plc:2225q3mb2icqxvznenlw2vxj,0.7573231925366631,241,139.47105047877344,94.6742982920482
did:plc:222axuht4phf4yuvtnjhqgxr,0.25926917635067026,2932,46.061020812153956,46.061020812153956
did:plc:223lhtl5kfgvp63xzrduiprp,6.774909952371105,206,57.71780591668184,23.149845810292756
did:plc:2245x6sqmbiueuqzhjwllydb,0.16997542915987887,1258,162.5662704597182,162.5662704597182
did:plc:225am3zrbznbobftp4p73exz,3.6683067436653,1828,119.32588543837569,105.60550287580949
did:plc:225frchk7sx7orn7q22encv2,3.3930925441819197,9,208.80257529817175,208.80257529817175
did:plc:225g4y2e35b4fylvbsbe752f,16.32253289022805,96,165.33123454011584,140.89735161107737
did:plc:225ye7dykffy6bpc2ppyud37,0.7490788637443999,3082,149.26266589800144,149.32477424056492
did:plc:226igxcf76lv3ii35sspf6ql,4.797686673638241,90,122.10044353862197,122.10044353862197
did:plc:22737tjj4ocvdbsu34dhjv43,1.8498663398702055,135,144.88208842260312,85.35765062903137
did:plc:227rygrl6nef3yivq6fpra4y,1.2180055166387334,201,71.45446770106723,69.92943495665627
did:plc:227x4ma6p46oyuohc2hcs7q3,0.9358717037723152,236,33.748467473426714,34.46269447528579
did:plc:22adah7hp5an53bqbpjo3djn,0.6031377857259123,1229,106.64611726125064,106.88042313371696
did:plc:22asoggzz4u7yppfet5rbd2v,4.432644592169591,150,43.521470047969316,40.6926564020625
did:plc:22au6lbpmlardppujycrdrpz,2.659582807721953,1504,151.24037353244756,86.97701590328163
did:plc:22b4yyri7tguqjxlrxi7522j,0.6822680041940264,826,18.219619094615425,18.219619094615425
did:plc:22btit4h6szwwliilv7d5cxd,1.2358478439306861,297,93.9782359174578,93.9782359174578
did:plc:22fktu4djyzrmb65ndt4wasz,3.62661828332551,368,65.81892732747359,64.78868731696438
did:plc:22g3mf3sm5z4lp7zfk6ncv32,6.01345696641761,3506,282.95171865138326,282.8757517225041
did:plc:22giak3uydgtd4paitk524nl,1.9605816661084643,55,131.52293647038977,38.775731656797696
did:plc:22hcjldbsvymwkm4adwl2p2c,1.3762625272772284,430,5.696828294306805,5.696828294306805
did:plc:22ipltqzpomimzjfgwj44hxh,2.954810018961378,283,43.167301319256815,43.6235996139631
did:plc:22jx25x7aznjdy54qf63u22g,11.43411881602807,390,43.030920338041604,41.532084455127695
did:plc:22kwtg54jiugzt7qlhe4p6jy,1.2600526961550806,1351,90.43538061841838,79.9125074178836
did:plc:22l6k5jy75j2v6kxk63kduc7,1.8061331686114825,262,104.13131081492601,56.84672785562042
did:plc:22lamsz3qq45pe4t3hg3khac,0.7873487116692965,660,168.77065778460826,136.70007573043995
did:plc:22lskm3yq2efjhkanfdo346h,0.20200444657704172,2830,230.54021333104882,230.54021333104882
did:plc:22lwxen5ifajkvd2gnnpqk36,0.9025208104020137,719,117.45687284178548,97.2251219290699
did:plc:22phhw7oiqzvurublu4cbmbm,1.3843220942598722,987,85.89733817005951,85.89733817005951
did:plc:22ppv7jqhwacj6gb7y2s7yp2,9.129284179977935,799,190.02653418586596,129.50707348568022
did:plc:22qk6gdbzhxl6c7mezikjbnu,0.7414227447216359,249,170.34812065701584,115.05255703744956
did:plc:22rcy7kttw6hfladr7e7s73v,0.3908074124588137,1893,37.16848048329586,37.16848048329586
did:plc:22sacusghb2m2md63tkgrxye,1.09688849069381,117,63.48343982462312,56.89768192246473
did:plc:22trbafphdurunr5ucsdcsev,3.293403200818996,1217,65.27559392240819,66.38368922313362
did:plc:22u5czukqfwp7qsp4dm2nrm4,1.3297147117876869,98,124.23487744793951,63.24833842229989
did:plc:22ufgtmnswereozf3lv2ythh,0.8773681538267183,467,69.841775639198,72.21088707063195
did:plc:22umin4xdzbyfjhi5rvzbvmx,0.6950404049224305,25,74.66538812372056,46.17865078349486
did:plc:22viuuoarthtyb4ogxxidgqb,2.9781832044121725,185,62.457721556883776,57.50621239173628
did:plc:22vm67pkpum5gc2klggmqs6q,0.7597369108805664,104,134.4565959342045,37.96556851552584
did:plc:22ywb7ztki2lesjt6zzgnxyv,3.50810656723353,368,89.07718072639388,57.41693253226552
did:plc:232baup6x7afcevgvcjeyrze,15.487993382891021,93,61.094627285666455,61.094627285666455
did:plc:232xfjskoszxg57ntqf2t3ya,25.7531709488773,225,30.78594554601608,32.22270485763735
did:plc:233j7q3talilsawdau4uwnpf,9.510618474470107,564,81.29323117682297,36.69295284429069
did:plc:235boeodyait575gq6wwh3gq,0.9222514452452159,408,162.92210343315443,117.02728349959266
did:plc:236dvobh34todocgslctj4oe,16.75134528282935,200,47.239018311832346,45.612177913532776
did:plc:23a4frvrj6vdvfafivazq5cx,0.9487751350581186,997,52.99547359771139,53.19081457479677
did:plc:23b2qcq4cjtijvl6m62u7ng6,70.85019125389378,110,73.72767913145105,34.23150056937986
did:plc:23bxl26unew7ggb6nunrcydr,8.237571243513667,37,28.165671251507412,25.063626462033785
did:plc:23crx27faad76q7krw6gtnw2,2.922134575688842,239,55.02884528198955,55.8797950520006
did:plc:23f6o57ugvufcphky2iicb7v,2.6673917968600684,39,76.89970824254635,76.89970824254635
did:plc:23fta4bk67sqw73wj43l3jeb,1.3715474633924891,190,84.29300213252155,84.28858042446947
did:plc:23kogwjyq7lxo7jejo4oemhy,0.9826533708438145,480,110.95985318951064,90.74011993835911
did:plc:23lchhk5yik7kpi6hlhx4fnd,1.1854533119538997,372,106.11949060586518,39.160203985576665
did:plc:23lhphbmi3zqv5ikslnwmqky,5.995587178598088,34,18.84337902326149,14.57974756504678
did:plc:23ljeo4gddmxzrjrrvkfzteb,1.6976476188001914,19,3.797667541712027,3.797667541712027
did:plc:23lqsy64w4ilouzxyxsawykw,0.5890574306499912,131,129.09207903423854,45.68236469548999
did:plc:23lvbsjrtczlttdys2dypk5f,1.9689709587595507,45,32.37089469893663,36.375599497137834
did:plc:23odkjjpp5y2iy6y7h7rhux4,1.6598097334985966,15,4.367978344964524,4.367978344964524
did:plc:23qeqysal63digb5ubffmrvg,1.03777162080087,1507,104.84534057813606,101.85469277251354
did:plc:23rk3tqok5qjuk46ceo25lx6,0.6429553402501514,289,7.4387912937701826,4.732348969469549
did:plc:23sx7mqiuwdy337i6gf6k75r,1.4293725410744431,1010,113.32978540445166,99.97634515415771
did:plc:23tuhhve7n344zadckxvmkal,14.775978237147921,155,94.88766799496747,90.82698746383
