Nome Feed,Descrizione,Data Creazione,Handle Creator,Follower Creator,Like Totali,Giorni Vita
🐾 Hot,"Furry
Hottest posts by furries across Bluesky. Contains a mix of SFW and NSFW content.

Join the furry feeds by following @furryli.st",2026-01-10 13:29:59.138,furryli.st,67376,5618,6
🐾 New,"Furry
Posts by furries across Bluesky. Contains a mix of SFW and NSFW content.

Join the furry feeds by following @furryli.st",2026-01-10 13:29:56.532,furryli.st,67368,4317,6
🐾 Art,"Furry
Posts by furries with #furryart. Contains a mix of SFW and NSFW content.

Join the furry feeds by following @furryli.st",2026-01-10 13:29:59.229,furryli.st,67370,3675,6
🐾 Art 🧼,"Furry
Posts by furries with #furryart and that haven't been marked NSFW.

Join the furry feeds by following @furryli.st",2026-01-10 13:29:57.333,furryli.st,67372,2671,6
🐾 Hot 🌙,"Furry
Hottest NSFW posts by furries across Bluesky. Contains only NSFW content.

Join the furry feeds by following @furryli.st",2026-01-10 13:29:57.034,furryli.st,67373,1743,6
Cakrawala Indonesia,"Cakrawala menampilkan kiriman dalam klaster bahasa Indonesia. Sertakan #nofeed atau #private agar tidak muncul di feed. Bagi pengguna baru, gunakan paket pemula ini utk memulai: https://bsky.app/profile/oops.wtf/post/3lnij6os77k2p

Mini Ckrwla ✨: https://bsky.app/profile/oops.wtf/feed/aaapzoy7ws34k",2026-01-10 07:45:28.431,oops.wtf,635,1403,6
🐾 Fursuits,"Furry
Posts by furries with #fursuit.

Join the furry feeds by following @furryli.st",2026-01-10 13:30:00.729,furryli.st,67374,1248,6
🐾 #CommsOpen,"Furry
Posts by furries that have #commsopen.

Join the furry feeds by following @furryli.st",2026-01-10 13:29:56.831,furryli.st,67373,1051,6
🐾 Art 🌙,"Furry
Posts by furries with #furryart and marked NSFW.

Join the furry feeds by following @furryli.st",2026-01-10 13:29:47.229,furryli.st,67370,998,6
Arte 🇧🇷,"Pra encontrar artistas brasileiros! 💕 Inputs são das ultimas 24h.
Use #BRart pra aparecer no feed. 🎨✨  
Use #AddBRart ou peça para entrar na lista do feed e ter todas as suas mídias postadas nele automaticamente. O processo é manual.
⚠️ Use avisos de conteúdo sensível ou explícito quando necessário!",2026-01-13 05:29:42.134,lattecos.bsky.social,1756,995,3
🐾 New 🌙,"Furry
Posts by furries that have been marked NSFW.

Join the furry feeds by following @furryli.st",2026-01-10 13:29:52.138,furryli.st,67374,979,6
 twstファン,"Twst Fandom Feed: Fanart, Cosplay, Events, Dolls, Handmade Items (including themed food!), Merch (Official & Fan). 

ツイステ Twisted Wonderland ツイステッドワンダーランド",2026-01-14 08:57:13.033,hillingsama.bsky.social,1579,948,2
Indie Devs & Games,"Pure #IndieDev #IndieGame #SoloGameDev feed. Semi curated, no RT or replies.
 
No AI, cryptobroscamwhatever!

Love #IndieGames",2026-01-14 13:58:18.832,patrickhenschel.de,1097,890,2
Premier League Football,Updated EPL Feed with 400+ Keywords across all 20 clubs.,2026-01-14 16:28:09.440,852dude.bsky.social,6011,845,1
Signal Boost,"Feed for anything that needs an extra signal boost or that you want to get in front of more people.

Anyone can use #SignalBoost on any post to show up here",2026-01-07 00:31:36.231,sweetbee.vip,28641,843,9
🐾 Murrsuits 🌙,"Furry
Posts by furries that have an image and #murrsuit or #fursuit.

Join the furry feeds by following @furryli.st",2026-01-10 13:29:53.329,furryli.st,67375,710,6
