Nome Feed,Descrizione Feed,Data Creazione,Handle Creator,Follower Creator,Like Totali,Giorni Vita,Bio Creator
Arte 🇧🇷,"Pra encontrar artistas brasileiros! 💕 Inputs são das ultimas 24h.
Use #BRart pra aparecer no feed. 🎨✨  
Use #AddBRart ou peça para entrar na lista do feed e ter todas as suas mídias postadas nele automaticamente. O processo é manual.
⚠️ Use avisos de conteúdo sensível ou explícito quando necessário!",2026-01-13 05:29:42.134,lattecos.bsky.social,1758,995,8,"giovanna/latte • art acc! • design student • lesbian • ela/ele | any prns • pt-en
✦ comms: https://vgen.co/Lattecos or DM ✦ WAITLIST OPEN

[ #BRart ✦ #oc ✦ #fanart ]"
 twstファン,"Twst Fandom Feed: Fanart, Cosplay, Events, Dolls, Handmade Items (including themed food!), Merch (Official & Fan). 

ツイステ Twisted Wonderland ツイステッドワンダーランド",2026-01-14 08:57:13.033,hillingsama.bsky.social,1594,948,7,"Twst ~ Tenipuri ~ チ。~ see pinned post, I create lots of Bsky feeds ☺️ Occasional cosplayer, compulsive merch collector, and so obsessed with Twst right now 30↑

Silent follow OK, will follow back ~ フォローご自由にどうぞ"
Indie Devs & Games,"Pure #IndieDev #IndieGame #SoloGameDev feed. Semi curated, no RT or replies.
 
No AI, cryptobroscamwhatever!

Love #IndieGames",2026-01-14 13:58:18.832,patrickhenschel.de,1102,890,6,"vɪlkeɪn - 🇩🇪 #Gamedev #IndieDev #Unity3d since '08 

Managing the ""Indie Devs & Games"" feed: https://tinyurl.com/IndieDevAndGames

Dev of #THUMBLEMANIA https://tinyurl.com/THUMBLEMANIA

Opinions are mine. 🏳️‍⚧️ 🌈"
Premier League Football,Updated EPL Feed with 400+ Keywords across all 20 clubs.,2026-01-14 16:28:09.440,852dude.bsky.social,6060,845,6,"Will shill for toy soldiers or samosas

Banner by Jerry.

Reskeets =/= endorsement"
Yuri WLW Lesbian Art ⚢,"ⓘ Settings - Languages - Uncheck ""Content Languages"" to access all the art",2026-01-11 17:37:12.234,femslash.bsky.social,194,489,9,"Lesbian art share 👭 | NoAI | Feel free to suggest or ping
Avatar by Inker_comics, Background by Stjepansejic"
JP+Illust+Hot:人気イラスト,"日本語(日本人)の人気のイラスト・漫画・絵
Japanese illust",2026-01-14 11:29:08.132,hi0a.com,842,404,7,https://hi0a.com/ ◆ 漫画、小説、アニメ(シナリオ重視)  ◆ 猫、動物、宇宙、自然、美術 ◆ bluesky用拡張機能 @hi0a.bsky.social  ◆各種日本語フィードJP+の精度調整 ◆ 宇宙や冒険ものの作品を観たい
Political Humor,"This is space for creative political comedy, satire, hot-takes. Have fun, be creative. Use hashtags #politicalsatire #politicalcomedy to post here.",2026-01-14 14:26:44.032,nekkoashi222.bsky.social,303,401,6,"YouTube @NekoAshi-w4q
I’m gonna speak my mind, make videos with my own characters & do my thing. This is my playground. If you like, say hi! If you no like, move on I won’t miss ya! 😘"
woso! NWSL & USWNT (all),"US-centered women's soccer feed. Find your woso community! 

Use city + name (eg Houston Dash) or name + FC as appropriate (eg Thorns FC) and *not* just the Wave or Spirit or Louisville. Also most common hashes eg #kcbaby, #vamoswave. Also USWNT, USWYNT, etc. Case insensitive.",2026-01-13 14:50:10.135,warriorrabbit.bsky.social,4228,397,7,"Liker of animals, bicycles, rain, TV, travel, art, soccer, puns, genealogy, and copious quiet time. @warriorrabbit everywhere. 

📍San Diego"
JP+Image+CatDog:動物・犬猫,"日本語(日本人)の犬猫兎鳥ペット動物画像
 (Japanese Language Animals Cat&Dog)
幅広く収集",2026-01-12 15:43:53.233,hi0a.com,842,289,8,https://hi0a.com/ ◆ 漫画、小説、アニメ(シナリオ重視)  ◆ 猫、動物、宇宙、自然、美術 ◆ bluesky用拡張機能 @hi0a.bsky.social  ◆各種日本語フィードJP+の精度調整 ◆ 宇宙や冒険ものの作品を観たい
StatsSky,"Discussions about statistical analysis

Add #statsky or #statsmeme to your post to appear on this feed.

Rules: No bigotry. No personal insults. Posts must be about statistics. Posts cannot have more than 8  hashtags.

Note: There is a delay of up to 5 minutes before a post appears on the feed.",2026-01-13 23:15:24.839,steveharoz.com,6138,285,7,"Visual perception and cognition scientist
(he/him)

My site: http://steveharoz.com
R guide: https://r-guide.steveharoz.com
StatCheck Simple: http://statcheck.steveharoz.com"
『作品』の話,"『二重カギカッコ』は、小説や映画などのタイトルを表記するときによく使われます。 『 のついた投稿を拾っています。案外みんな作品の話をしている。
※フィードの解説文
https://sizu.me/ffi/posts/d3kh0rn0csrs",2026-01-12 02:31:52.332,ffi.bsky.social,381,233,9,"事務をしたり文章を書いたりして暮らしています。
甘いものとコーヒーとインターネットが好きで、映画館に行くのと本屋にいるのが好き。

タイムラインはほとんど見ていません。ときどきフィードを見ています。
ブラキャニに滞在しています。
https://sizu.me/ffi"
#skybusty,"Aggregate of posts using big boob search terms, sorted by popularity.

Add 🦋🍒 or #skybusty to add yourself to the feed. 

Some included search terms:
 #bigboobs #bigtits #mommymilkers #hugeboobs",2026-01-13 19:53:28.133,missmeringue.love,15128,223,7,"aerospace engineer gone wild | PNW | missmeringue.love

🌶️ media only feed: https://bsky.app/profile/did:plc:2j4w2o4xmkbheromzo73r5sv/feed/aaaocqvwurr7c
join my discord server: https://discord.gg/Ugm3DMWa6Z"
#SocialistCircle,A feed for socialists & lefties on Bluesky,2026-01-13 23:01:14.635,andmarwood.bsky.social,6107,215,7,"Follow, like & join the #SocialistCircle feed
— 💚 #BackZack #VoteGreen ✅ —
#Renationalise key UK infrastructure & public services | #NoToPFI |
| #PRNow | #UBI | #CoOps |
| #MediaReform | #eXodus | #Leveson2 |
| #TaxTheRich | #WealthTax | #JoinAUnion |"
(DEPRECATED) Pixelart👾,This feed is deprecated. Use this one instead. https://bsky.app/profile/did:plc:q4aslxnokahiw2c7jtrcqeyy/feed/aaacit5jkrvb2,2026-01-14 02:35:15.331,gors.bsky.social,4276,200,7,"The local green bullet man. (he/him) (🇧🇷 PTBR|🇯🇵 JP|🇺🇸 ENG ok) No NFTs & AI. Cara: @gors | IG: @spritergors | Discord: gors. #PixelArt #Chiptune #DigitalArt #mew-crew
Comics: sites.google.com/view/mew-crew
PFP: @noodlesxl.bsky.social"
ぬいぐるみ部,「ぬいぐるみ」「ぬい撮り」という単語がテキストまたはaltテキストに入った画像付きPostを拾います🧸,2026-01-13 14:41:43.729,ccnts21.bsky.social,122,197,7,'91 | Webディレクター | ぬいぐるみたちとのくらし+雑多な趣味(声楽/手帳/お笑い/リヴリー/ポケポケ/マイクラ/かわいい雑貨/おいしいごはん)
FGC Popular,"Collects the hottest to keep you up-to-date with the ️Fighting Game Community 🕹. A mix of curated content and fighting games buzz, it's regularly improved to stay on point. Street Fighter, Tekken, King of Fighters, Guilty Gear, 2XKO, Marvel: Tokon Fighting Souls, and more!

Updated 2026/01/14",2026-01-14 18:01:33.140,craptastrophe.bsky.social,2023,183,6,"I like fighting games but I went home to be a family man. He/him.

I made the FGC Popular feed and it's pretty good. If you like the stuff I repost, I get it from there.

Feed: https://bsky.app/profile/did:plc:gi4pu6g5itmjtbbkzdvb2mwc/feed/aaablrlu5zqwe"
Early Modern,"For all things early modern #earlymodern #reformazing #nuntastic #monkabulous history, literature and more.",2026-01-13 22:45:48.835,janmachielsen.bsky.social,4949,181,7,"Historian of early modern religion, working on witches and saints. Loves hikes and risotto."
Live Football Chat,"Posts about live football/soccer matches, aiming to help foster a community of football/soccer-watchers on bluesky.",2026-01-11 21:29:40.836,markposts.bsky.social,4370,176,9,data software engineer @ Twenty3 Sports || sport for all || (he/him) || ⚽🎾💻📰🏎️🤖
Pokemon GO,"Pokémon GO comes to Bluesky!
If your Pokémon GO related post isn't showing up please reach out to @coderjesus.com
Spammers, NSFW, and Ads = block.
Currently working on fixing the feed, pls hold tight",2026-01-11 16:00:33.231,coderjesus.com,38,166,9,"This is fine.
coderjesus.com"
(Defasado) Pixelart BR,Este feed está defasado. Use este no lugar. https://bsky.app/profile/did:plc:q4aslxnokahiw2c7jtrcqeyy/feed/aaacjdvv4nqaw,2026-01-14 02:34:40.032,gors.bsky.social,4276,159,7,"The local green bullet man. (he/him) (🇧🇷 PTBR|🇯🇵 JP|🇺🇸 ENG ok) No NFTs & AI. Cara: @gors | IG: @spritergors | Discord: gors. #PixelArt #Chiptune #DigitalArt #mew-crew
Comics: sites.google.com/view/mew-crew
PFP: @noodlesxl.bsky.social"
